"","r","g","b","y","x","rgb","cluster"
"1",224,240,240,-1,1,14741744,"14741744"
"2",235,244,251,-2,1,15463675,"14741744"
"3",248,248,255,-3,1,16316671,"14741744"
"4",250,238,255,-4,1,16445183,"14741744"
"5",240,222,246,-5,1,15785718,"14741744"
"6",255,238,255,-6,1,16772863,"14741744"
"7",255,246,255,-7,1,16774911,"14741744"
"8",243,244,249,-8,1,15987961,"14741744"
"9",214,229,222,-9,1,14083550,"14741744"
"10",184,211,194,-10,1,12112834,"14741744"
"11",183,216,195,-11,1,12048579,"14741744"
"12",184,216,195,-12,1,12114115,"14741744"
"13",190,214,198,-13,1,12506822,"14741744"
"14",194,209,202,-14,1,12767690,"14741744"
"15",199,203,204,-15,1,13093836,"14741744"
"16",196,193,200,-16,1,12894664,"14741744"
"17",205,205,205,-17,1,13487565,"14741744"
"18",205,205,205,-18,1,13487565,"14741744"
"19",205,205,205,-19,1,13487565,"14741744"
"20",205,205,205,-20,1,13487565,"14741744"
"21",205,205,205,-21,1,13487565,"14741744"
"22",205,205,205,-22,1,13487565,"14741744"
"23",205,205,205,-23,1,13487565,"14741744"
"24",205,205,205,-24,1,13487565,"14741744"
"25",205,205,205,-25,1,13487565,"14741744"
"26",205,205,205,-26,1,13487565,"14741744"
"27",205,205,205,-27,1,13487565,"14741744"
"28",205,205,205,-28,1,13487565,"14741744"
"29",205,205,205,-29,1,13487565,"14741744"
"30",205,205,205,-30,1,13487565,"14741744"
"31",205,205,205,-31,1,13487565,"14741744"
"32",205,205,205,-32,1,13487565,"14741744"
"33",205,205,205,-33,1,13487565,"14741744"
"34",205,205,205,-34,1,13487565,"14741744"
"35",205,205,205,-35,1,13487565,"14741744"
"36",205,205,205,-36,1,13487565,"14741744"
"37",205,205,205,-37,1,13487565,"14741744"
"38",205,205,205,-38,1,13487565,"14741744"
"39",205,205,205,-39,1,13487565,"14741744"
"40",205,205,205,-40,1,13487565,"14741744"
"41",205,205,205,-41,1,13487565,"14741744"
"42",205,205,205,-42,1,13487565,"14741744"
"43",205,205,205,-43,1,13487565,"14741744"
"44",205,205,205,-44,1,13487565,"14741744"
"45",205,205,205,-45,1,13487565,"14741744"
"46",205,205,205,-46,1,13487565,"14741744"
"47",205,205,205,-47,1,13487565,"14741744"
"48",205,205,205,-48,1,13487565,"14741744"
"49",205,205,205,-49,1,13487565,"14741744"
"50",205,205,205,-50,1,13487565,"14741744"
"51",205,205,205,-51,1,13487565,"14741744"
"52",205,205,205,-52,1,13487565,"14741744"
"53",205,205,205,-53,1,13487565,"14741744"
"54",205,205,205,-54,1,13487565,"14741744"
"55",205,205,205,-55,1,13487565,"14741744"
"56",205,205,205,-56,1,13487565,"14741744"
"57",205,205,205,-57,1,13487565,"14741744"
"58",205,205,205,-58,1,13487565,"14741744"
"59",205,205,205,-59,1,13487565,"14741744"
"60",205,205,205,-60,1,13487565,"14741744"
"61",205,205,205,-61,1,13487565,"14741744"
"62",205,205,205,-62,1,13487565,"14741744"
"63",205,205,205,-63,1,13487565,"14741744"
"64",205,205,205,-64,1,13487565,"14741744"
"65",205,205,205,-65,1,13487565,"14741744"
"66",205,205,205,-66,1,13487565,"14741744"
"67",205,205,205,-67,1,13487565,"14741744"
"68",205,205,205,-68,1,13487565,"14741744"
"69",205,205,205,-69,1,13487565,"14741744"
"70",205,205,205,-70,1,13487565,"14741744"
"71",205,205,205,-71,1,13487565,"14741744"
"72",205,205,205,-72,1,13487565,"14741744"
"73",205,205,205,-73,1,13487565,"14741744"
"74",205,205,205,-74,1,13487565,"14741744"
"75",205,205,205,-75,1,13487565,"14741744"
"76",205,205,205,-76,1,13487565,"14741744"
"77",205,205,205,-77,1,13487565,"14741744"
"78",205,205,205,-78,1,13487565,"14741744"
"79",205,205,205,-79,1,13487565,"14741744"
"80",205,205,205,-80,1,13487565,"14741744"
"81",205,205,205,-81,1,13487565,"14741744"
"82",205,205,205,-82,1,13487565,"14741744"
"83",205,205,205,-83,1,13487565,"14741744"
"84",205,205,205,-84,1,13487565,"14741744"
"85",205,205,205,-85,1,13487565,"14741744"
"86",205,205,205,-86,1,13487565,"14741744"
"87",205,205,205,-87,1,13487565,"14741744"
"88",205,205,205,-88,1,13487565,"14741744"
"89",205,205,205,-89,1,13487565,"14741744"
"90",205,205,205,-90,1,13487565,"14741744"
"91",205,205,205,-91,1,13487565,"14741744"
"92",205,205,205,-92,1,13487565,"14741744"
"93",205,205,205,-93,1,13487565,"14741744"
"94",205,205,205,-94,1,13487565,"14741744"
"95",205,205,205,-95,1,13487565,"14741744"
"96",205,205,205,-96,1,13487565,"14741744"
"97",205,205,205,-97,1,13487565,"14741744"
"98",205,205,205,-98,1,13487565,"14741744"
"99",205,205,205,-99,1,13487565,"14741744"
"100",205,205,205,-100,1,13487565,"14741744"
"101",205,205,205,-101,1,13487565,"14741744"
"102",205,205,205,-102,1,13487565,"14741744"
"103",205,205,205,-103,1,13487565,"14741744"
"104",205,205,205,-104,1,13487565,"14741744"
"105",205,205,205,-105,1,13487565,"14741744"
"106",205,205,205,-106,1,13487565,"14741744"
"107",205,205,205,-107,1,13487565,"14741744"
"108",205,205,205,-108,1,13487565,"14741744"
"109",205,205,205,-109,1,13487565,"14741744"
"110",205,205,205,-110,1,13487565,"14741744"
"111",205,205,205,-111,1,13487565,"14741744"
"112",205,205,205,-112,1,13487565,"14741744"
"113",205,205,205,-113,1,13487565,"14741744"
"114",205,205,205,-114,1,13487565,"14741744"
"115",205,205,205,-115,1,13487565,"14741744"
"116",205,205,205,-116,1,13487565,"14741744"
"117",205,205,205,-117,1,13487565,"14741744"
"118",205,205,205,-118,1,13487565,"14741744"
"119",205,205,205,-119,1,13487565,"14741744"
"120",205,205,205,-120,1,13487565,"14741744"
"121",205,205,205,-121,1,13487565,"14741744"
"122",205,205,205,-122,1,13487565,"14741744"
"123",205,205,205,-123,1,13487565,"14741744"
"124",205,205,205,-124,1,13487565,"14741744"
"125",205,205,205,-125,1,13487565,"14741744"
"126",205,205,205,-126,1,13487565,"14741744"
"127",205,205,205,-127,1,13487565,"14741744"
"128",205,205,205,-128,1,13487565,"14741744"
"129",205,205,205,-129,1,13487565,"14741744"
"130",205,205,205,-130,1,13487565,"14741744"
"131",205,205,205,-131,1,13487565,"14741744"
"132",205,205,205,-132,1,13487565,"14741744"
"133",205,205,205,-133,1,13487565,"14741744"
"134",205,205,205,-134,1,13487565,"14741744"
"135",205,205,205,-135,1,13487565,"14741744"
"136",205,205,205,-136,1,13487565,"14741744"
"137",205,205,205,-137,1,13487565,"14741744"
"138",205,205,205,-138,1,13487565,"14741744"
"139",205,205,205,-139,1,13487565,"14741744"
"140",205,205,205,-140,1,13487565,"14741744"
"141",205,205,205,-141,1,13487565,"14741744"
"142",205,205,205,-142,1,13487565,"14741744"
"143",205,205,205,-143,1,13487565,"14741744"
"144",205,205,205,-144,1,13487565,"14741744"
"145",205,205,205,-145,1,13487565,"14741744"
"146",205,205,205,-146,1,13487565,"14741744"
"147",205,205,205,-147,1,13487565,"14741744"
"148",205,205,205,-148,1,13487565,"14741744"
"149",205,205,205,-149,1,13487565,"14741744"
"150",205,205,205,-150,1,13487565,"14741744"
"151",205,205,205,-151,1,13487565,"14741744"
"152",205,205,205,-152,1,13487565,"14741744"
"153",205,205,205,-153,1,13487565,"14741744"
"154",205,205,205,-154,1,13487565,"14741744"
"155",205,205,205,-155,1,13487565,"14741744"
"156",205,205,205,-156,1,13487565,"14741744"
"157",205,205,205,-157,1,13487565,"14741744"
"158",205,205,205,-158,1,13487565,"14741744"
"159",205,205,205,-159,1,13487565,"14741744"
"160",205,205,205,-160,1,13487565,"14741744"
"161",205,205,205,-161,1,13487565,"14741744"
"162",205,205,205,-162,1,13487565,"14741744"
"163",205,205,205,-163,1,13487565,"14741744"
"164",205,205,205,-164,1,13487565,"14741744"
"165",205,205,205,-165,1,13487565,"14741744"
"166",205,205,205,-166,1,13487565,"14741744"
"167",205,205,205,-167,1,13487565,"14741744"
"168",205,205,205,-168,1,13487565,"14741744"
"169",205,205,205,-169,1,13487565,"14741744"
"170",205,205,205,-170,1,13487565,"14741744"
"171",205,205,205,-171,1,13487565,"14741744"
"172",205,205,205,-172,1,13487565,"14741744"
"173",205,205,205,-173,1,13487565,"14741744"
"174",205,205,205,-174,1,13487565,"14741744"
"175",205,205,205,-175,1,13487565,"14741744"
"176",205,205,205,-176,1,13487565,"14741744"
"177",205,205,205,-177,1,13487565,"14741744"
"178",205,205,205,-178,1,13487565,"14741744"
"179",205,205,205,-179,1,13487565,"14741744"
"180",205,205,205,-180,1,13487565,"14741744"
"181",205,205,205,-181,1,13487565,"14741744"
"182",205,205,205,-182,1,13487565,"14741744"
"183",205,205,205,-183,1,13487565,"14741744"
"184",205,205,205,-184,1,13487565,"14741744"
"185",205,205,205,-185,1,13487565,"14741744"
"186",205,205,205,-186,1,13487565,"14741744"
"187",205,205,205,-187,1,13487565,"14741744"
"188",205,205,205,-188,1,13487565,"14741744"
"189",205,205,205,-189,1,13487565,"14741744"
"190",205,205,205,-190,1,13487565,"14741744"
"191",205,205,205,-191,1,13487565,"14741744"
"192",205,205,205,-192,1,13487565,"14741744"
"193",205,205,205,-193,1,13487565,"14741744"
"194",205,205,205,-194,1,13487565,"14741744"
"195",205,205,205,-195,1,13487565,"14741744"
"196",205,205,205,-196,1,13487565,"14741744"
"197",205,205,205,-197,1,13487565,"14741744"
"198",205,205,205,-198,1,13487565,"14741744"
"199",205,205,205,-199,1,13487565,"14741744"
"200",205,205,205,-200,1,13487565,"14741744"
